"店舗名／法人名","都道府県","提案区分","ドリスロ提案区分","エリア表記(ドリスロ)","DMM_エリア表記","インフル依頼","フェーズ","案件 所有者","初開催フラグ","イベント日"
"上尾UNO","埼玉県","ZIZAI_ドリスロ","3台並び","JR高崎線・上尾駅西口のお店","","塊","100%：受注確定","佐藤 寿","0","2023/01/07"
"123宝塚店","兵庫県","ZIZAI_ドリスロ","3台並び","","","特攻","100%：受注確定","岩下 龍介","0","2023/01/07"
"みずほ台UNO","埼玉県","ZIZAI_ドリスロ","3台並び","東武東上線・みずほ台駅東口　ロータリー正面のお店","","塊","100%：受注確定","佐藤 寿","0","2023/01/07"
"ラッキー1番江南店","愛知県","ZIZAI_ドリスロ","ジャグ・ハナ","江南市のお店","","寿司","100%：受注確定","横井 智","0","2023/01/07"
"中山UNO","神奈川県","ZIZAI_ドリスロ","3台並び","JR横浜線・中山駅北口すぐのお店","","take6","100%：受注確定","佐藤 寿","0","2023/01/07"
"SLOT M&M綱島店","神奈川県","DMM_ドリスロ","全台","横浜市港北区綱島M","横浜市港北区綱島M","take6","100%：受注確定","DMM入力用","1","2023/01/07"
"スロットタワージャルダン","埼玉県","ZIZAI_ドリスロ","3台並び","ふじみ野上福岡","","いけちん","100%：受注確定","小野田 眞一","0","2023/01/07"
"D'station姫路店","兵庫県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","","","特攻","100%：受注確定","吉川 英優","0","2023/01/08"
"チャンピオン田名","神奈川県","ZIZAI_ドリスロ","3台並び","相模原市中央区田名　うどん屋さんの隣のお店","","take6","100%：受注確定","佐藤 寿","0","2023/01/08"
"パラッツォ湘南台店","神奈川県","ZIZAI_ドリスロ","3台並び","湘南台西口D2出口","","take6","100%：受注確定","高野 純一","0","2023/01/08"
"ビックマーチ真岡店","栃木県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","","","エルモ,いけちん","100%：受注確定","吉川 英優","0","2023/01/08"
"KING BOSS 1000","栃木県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ; オキドキ・チバリヨ","","","エルモ,いけちん","100%：受注確定","吉川 英優","1","2023/01/08"
"やすだ幕張店","千葉県","DMM_ドリスロ","3台並び; ジャグ・ハナ","千葉市花見川区デニーズ付近","千葉市花見川区デニーズ付近","","100%：受注確定","DMM入力用","0","2023/01/08"
"マルハン草薙アピア店","静岡県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","駿河区1号線沿いのお店","","フル","100%：受注確定","横井 智","0","2023/01/08"
"FACE1100瑞穂","東京都","ZIZAI_ドリスロ","3台並び","西多摩郡瑞穂町ザ・モールみずほ１６ そばのお店","","カリスマ","100%：受注確定","室屋 雄三","0","2023/01/08"
"ARISE DAIAN 築館店","宮城県","DMM_ドリスロ","全台","","栗原市築館　しまむらの近くの店舗","ずんだ","100%：受注確定","DMM入力用","0","2023/01/08"
"アスカ狭山店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び","狭山市智光山公園側","","塊","100%：受注確定","吉川 英優","0","2023/01/08"
"楽園上新屋店","静岡県","ZIZAI_ドリパチ","","浜松市東区の楽しいお店","","フル","100%：受注確定","吉川 英優","0","2023/01/08"
"ZENT坂祝店","岐阜県","ZIZAI_ドリスロ","ジャグ・ハナ","","","寿司","100%：受注確定","横井 智","0","2023/01/08"
"阪神パチンコ","兵庫県","DMM_ドリスロ","3台並び","","阪神パチンコ","ビクトリー","100%：受注確定","DMM入力用","0","2023/01/08"
"アリーナ平塚店","埼玉県","ZIZAI_ドリスロ","3台並び","上尾市 ラウンドワン近くのスロ専","","れお","100%：受注確定","吉川 英優","0","2023/01/08"
"プラザ上大岡アンドミラージュ","神奈川県","DMM_ドリスロ","全台","横浜市上大岡西M","横浜市上大岡西M","カリスマ","100%：受注確定","DMM入力用","0","2023/01/08"
"やすだ三郷店","埼玉県","DMM_ドリスロ","3台並び","武蔵野線三郷駅徒歩１５分シャトレーゼそば","武蔵野線三郷駅徒歩15分","いけちん","100%：受注確定","DMM入力用","0","2023/01/08"
"セントラルMEGASTAGE1000","福島県","ZIZAI_ドリスロ","全台; 3台並び","南相馬市イオンスーパーセンター近くジャズモールのお店","","ずんだ,たいと","100%：受注確定","佐藤 寿","0","2023/01/08"
"FACE1100瑞穂","東京都","ZIZAI_ドリスロ","3台並び","西多摩郡瑞穂町ザ・モールみずほ１６ そばのお店","","カリスマ","100%：受注確定","室屋 雄三","0","2023/01/09"
"マルハンメガシティ横浜町田店","神奈川県","ZIZAI_ドリスロ","3台並び","横浜市瀬谷区目黒町","","take6","100%：受注確定","佐藤 寿","0","2023/01/09"
"スーパーBOSS","栃木県","ZIZAI_ドリスロ","全台; 3台並び","スーパーBOSS","","エルモ,いけちん","100%：受注確定","吉川 英優","0","2023/01/09"
"キコーナ伊勢佐木店","神奈川県","ZIZAI_ドリスロ","ジャグ・ハナ","横浜市中区長者町8-119","","take6","100%：受注確定","高野 純一","0","2023/01/09"
"ニュークラウン川越2号店","埼玉県","ZIZAI_ドリスロ","3台並び","川越駅徒歩2分","","いけちん","100%：受注確定","吉川 英優","0","2023/01/09"
"パラッツォ川越店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び","本川越駅近くの大型店","","塊","100%：受注確定","高野 純一","0","2023/01/09"
"モナコ西明石","兵庫県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","兵庫県西明石駅付近のお店","","特攻","100%：受注確定","横井 智","0","2023/01/09"
"ZAPP黒磯","栃木県","DMM_ドリスロ","3台並び","ＺＡＰＰ黒磯","ZAPP黒磯","エルモ","100%：受注確定","DMM入力用","0","2023/01/09"
"マルハン館林店","群馬県","ZIZAI_ドリスロ","3台並び","北関東Ｍ②","","","100%：受注確定","吉川 英優","0","2023/01/09"
"ミリオン習志野店","千葉県","ZIZAI_ドリスロ","3台並び","船橋市習志野４丁目コジマ向かいのお店","","ミスター","100%：受注確定","高野 純一","0","2023/01/09"
"サンクステーション","埼玉県","ZIZAI_ドリスロ","3台並び","若葉駅西口ヤオコー裏の線路沿いのお店","","いけちん","100%：受注確定","小野田 眞一","0","2023/01/09"
"アビバ南足柄店","神奈川県","ZIZAI_ドリスロ","ジャグ・ハナ","大雄山線富士フイルム前駅　徒歩3分のお店","","take6","100%：受注確定","佐藤 寿","0","2023/01/09"
"マルキ戸田店","埼玉県","ZIZAI_ドリスロ","3台並び","イオン北戸田店近く","","いけちん,塊","100%：受注確定","小野田 眞一","0","2023/01/10"
"21SEIKI仙台愛子","宮城県","DMM_ドリスロ","全台; 3台並び","仙台市青葉区栗生","仙台市青葉区栗生","ずんだ","100%：受注確定","DMM入力用","0","2023/01/10"
"キクヤ千葉店","千葉県","ZIZAI_ドリスロ","3台並び","千葉市中央区末広5丁目交差点近く","","ミスター","100%：受注確定","高野 純一","0","2023/01/10"
"ミクちゃんガイア垂水東店","兵庫県","ZIZAI_ドリスロ","3台並び","","","ビクトリー","100%：受注確定","岩下 龍介","0","2023/01/11"
"マルハン福島店","福島県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","飯坂温泉近くの立体駐車場があるお店","","ずんだ","100%：受注確定","佐藤 寿","0","2023/01/11"
"ジアスセンター南","神奈川県","ZIZAI_ドリスロ","ジャグ・ハナ","横浜市都筑区茅ヶ崎中央","","take6","100%：受注確定","小野田 眞一","0","2023/01/11"
"アリーナ岩槻本店","埼玉県","ZIZAI_ドリスロ","ジャグ・ハナ","さいたま市岩槻区表慈恩寺","","塊","100%：受注確定","吉川 英優","0","2023/01/11"
"一番舘柏店","千葉県","ZIZAI_ドリスロ","3台並び","柏市豊四季駅","","ミスター","100%：受注確定","吉川 英優","0","2023/01/11"
"一番舘川越ふじみ野店","埼玉県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","川越市大字渋井　川越新座線沿い","","いけちん","100%：受注確定","吉川 英優","0","2023/01/11"
"チャレンジャー7","東京都","DMM_ドリスロ","3台並び","","拝島駅徒歩1分のお店","カリスマ","100%：受注確定","DMM入力用","0","2023/01/11"
"やすだ所沢店","埼玉県","DMM_ドリスロ","3台並び","所沢インター降りてマクドナルド目の前の店舗","所沢インター降りてマクドナルド目の前の店舗","いけちん","100%：受注確定","DMM入力用","0","2023/01/11"
"ウイング池田南店","岐阜県","DMM_ドリスロ","3台並び; オキドキ・チバリヨ","","ウイング池田南店","こぜ6","100%：受注確定","DMM入力用","0","2023/01/11"
"一番舘草加店","埼玉県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","草加市両新田東町","","いけちん","100%：受注確定","吉川 英優","0","2023/01/11"
"アリーナ平塚店","埼玉県","ZIZAI_ドリスロ","3台並び","上尾市 ラウンドワン近くのスロ専","","れお","100%：受注確定","吉川 英優","0","2023/01/11"
"パールショップともえセンター南店","神奈川県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","都筑区茅ヶ崎中央　センター南駅から直結のお店","","take6","100%：受注確定","高野 純一","0","2023/01/11"
"チャレンジャー光が丘","東京都","DMM_ドリスロ","3台並び","","練馬区旭町のお店","カリスマ","100%：受注確定","DMM入力用","0","2023/01/11"
"第一プラザみずほ台店","埼玉県","ZIZAI_ドリスロ","3台並び","みずほ台駅東口目利きの銀次隣","","塊","100%：受注確定","吉川 英優","0","2023/01/11"
"D’STATION坂戸店","埼玉県","ZIZAI_ドリパチ","","坂戸市塚越 セブンイレブン坂戸塚越店裏の大型店","","塊","100%：受注確定","吉川 英優","0","2023/01/11"
"新甲子園","静岡県","ZIZAI_ドリスロ","3台並び","三島市1号線沿いのお店","","フル","100%：受注確定","横井 智","0","2023/01/11"
"一番舘内谷店","埼玉県","ZIZAI_ドリスロ","3台並び","さいたま市南区内谷 浦和南 I.C.近く","","いけちん","100%：受注確定","吉川 英優","0","2023/01/11"
"一番舘相模原店","神奈川県","ZIZAI_ドリスロ","3台並び","相模原市北清掃工場そば","","take6","100%：受注確定","吉川 英優","0","2023/01/11"
"一番舘東所沢店","埼玉県","ZIZAI_ドリスロ","3台並び","東所沢のお店","","いけちん","100%：受注確定","吉川 英優","0","2023/01/11"
"サンパレス大杉店","東京都","ZIZAI_ドリスロ","3台並び","江戸川区環七通り大杉5丁目交差点近くのお店","","カリスマ","100%：受注確定","小野田 眞一","0","2023/01/11"
"中山ZoRoN","神奈川県","ZIZAI_ドリスロ","3台並び","JR横浜線・中山駅南口のお店","","take6","100%：受注確定","佐藤 寿","0","2023/01/11"
"マルハンいわき店","福島県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","いわき市平セブンイレブン近く","","ずんだ","100%：受注確定","佐藤 寿","0","2023/01/11"
"マルハンいわき店","福島県","ZIZAI_ドリパチ","","いわき市平セブンイレブン近く","","ずんだ","100%：受注確定","佐藤 寿","0","2023/01/11"
"マルハン甲府店","山梨県","ZIZAI_ドリスロ","3台並び","甲府市","","フル","100%：受注確定","小野田 眞一","0","2023/01/11"
"マルハン甲府店","山梨県","ZIZAI_ドリパチ","","甲府市","","フル","100%：受注確定","小野田 眞一","0","2023/01/11"
"ライブガーデン上尾スロット館","埼玉県","ZIZAI_ドリスロ","全台; 3台並び","上尾市中妻ブリヂストン工場近く","","いけちん","100%：受注確定","吉川 英優","0","2023/01/12"
"サンパレス大杉店","東京都","ZIZAI_ドリスロ","3台並び","江戸川区環七通り大杉5丁目交差点近くのお店","","カリスマ","100%：受注確定","小野田 眞一","0","2023/01/12"
"FACE1100瑞穂","東京都","ZIZAI_ドリスロ","3台並び","西多摩郡瑞穂町ザ・モールみずほ１６ そばのお店","","カリスマ","100%：受注確定","室屋 雄三","0","2023/01/12"
"ARISE DAIAN 荒巻店","宮城県","DMM_ドリスロ","全台","","仙台市青葉区荒巻本沢　幸楽苑近くの店舗","ずんだ","100%：受注確定","DMM入力用","0","2023/01/12"
"パールショップともえ川越店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び","セブンイレブン川越今福店前","","いけちん,塊","100%：受注確定","高野 純一","0","2023/01/12"
"モナコ香寺","兵庫県","ZIZAI_ドリスロ","全台; 3台並び","兵庫県溝口駅付近のお店","","ビクトリー","100%：受注確定","横井 智","0","2023/01/12"
"プレイブランドフェニックス姫路駅前","兵庫県","ZIZAI_ドリスロ","全台; 3台並び","兵庫県姫路駅付近のお店","","ビクトリー","100%：受注確定","横井 智","0","2023/01/12"
"ラッキー1BAN日進竹の山店","愛知県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","日進市のお店","","寿司","100%：受注確定","横井 智","0","2023/01/12"
"アリーナ鶴瀬店","埼玉県","ZIZAI_ドリスロ","3台並び","鶴瀬駅徒歩1分のお店","","塊","100%：受注確定","吉川 英優","0","2023/01/12"
"キクヤ千葉店","千葉県","ZIZAI_ドリスロ","3台並び","千葉市中央区末広5丁目交差点近く","","ミスター","100%：受注確定","高野 純一","0","2023/01/12"
"第一プラザ西浦和店","埼玉県","ZIZAI_ドリパチ","","さいたま市桜区町谷","","塊","100%：受注確定","吉川 英優","0","2023/01/12"
"マルハンメガシティ横浜町田店","神奈川県","ZIZAI_ドリスロ","3台並び","横浜市瀬谷区目黒町","","take6","100%：受注確定","佐藤 寿","0","2023/01/13"
"マルハン会津若松一箕店","福島県","ZIZAI_ドリスロ","ジャグ・ハナ","会津若松市一箕町　平面駐車場のお店","","ずんだ・タイト","100%：受注確定","佐藤 寿","0","2023/01/13"
"マルハン福島店","福島県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","飯坂温泉近くの立体駐車場があるお店","","ずんだ","100%：受注確定","佐藤 寿","0","2023/01/13"
"ビックマーチ高崎おおやぎ店","群馬県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","北関東B①","","エルモ,いけちん","100%：受注確定","吉川 英優","0","2023/01/13"
